File:Sim_136.txt has rejection ratio 0.435824609375 and time taken 30 min, 49 sec
File:Sim_137.txt has rejection ratio 0.43533671875 and time taken 31 min, 19 sec
File:Sim_138.txt has rejection ratio 0.4347671875 and time taken 31 min, 49 sec
File:Sim_139.txt has rejection ratio 0.4344095703125 and time taken 32 min, 19 sec
File:Sim_140.txt has rejection ratio 0.4339609375 and time taken 32 min, 47 sec
File:Sim_141.txt has rejection ratio 0.432416796875 and time taken 33 min, 17 sec
File:Sim_142.txt has rejection ratio 0.43208359375 and time taken 33 min, 45 sec
File:Sim_143.txt has rejection ratio 0.431720703125 and time taken 34 min, 15 sec
File:Sim_144.txt has rejection ratio 0.4317470703125 and time taken 34 min, 47 sec
File:Sim_145.txt has rejection ratio 0.4313169921875 and time taken 35 min, 20 sec
File:Sim_146.txt has rejection ratio 0.430888671875 and time taken 35 min, 54 sec
File:Sim_147.txt has rejection ratio 0.43120703125 and time taken 36 min, 26 sec
File:Sim_148.txt has rejection ratio 0.4325744140625 and time taken 36 min, 58 sec
File:Sim_149.txt has rejection ratio 0.433869921875 and time taken 37 min, 32 sec
File:Sim_150.txt has rejection ratio 0.4351615234375 and time taken 38 min, 2 sec
File:Sim_151.txt has rejection ratio 0.436950390625 and time taken 38 min, 34 sec
File:Sim_152.txt has rejection ratio 0.4387412109375 and time taken 39 min, 6 sec
File:Sim_153.txt has rejection ratio 0.43996015625 and time taken 39 min, 36 sec
File:Sim_154.txt has rejection ratio 0.4412931640625 and time taken 40 min, 8 sec
File:Sim_155.txt has rejection ratio 0.4425705078125 and time taken 40 min, 38 sec
File:Sim_156.txt has rejection ratio 0.443792578125 and time taken 41 min, 10 sec
File:Sim_157.txt has rejection ratio 0.4442359375 and time taken 41 min, 40 sec
File:Sim_158.txt has rejection ratio 0.44444140625 and time taken 42 min, 12 sec
File:Sim_159.txt has rejection ratio 0.444762109375 and time taken 42 min, 42 sec
File:Sim_160.txt has rejection ratio 0.44538203125 and time taken 43 min, 14 sec
